,name,도로명주소,브랜드,latlon
0,금정남산동DT,부산광역시 금정구 중앙대로 1989 (남산동),스타벅스,"(35.262146679655, 129.091312246261)"
1,금정구청DT,부산광역시 금정구 중앙대로 1730 (부곡동),스타벅스,"(35.2388135211636, 129.092985849499)"
2,온천장역DT,부산광역시 금정구 식물원로 13 (장전동),스타벅스,"(35.2239889287611, 129.086547807418)"
3,부산대정문,부산광역시 금정구 부산대학로64번길 12 (장전동),스타벅스,"(35.232103721418, 129.084558512732)"
4,부산대역,"부산광역시 금정구 장전로12번길 64, 1~4층 (장전동)",스타벅스,"(35.2305082787738, 129.088736491912)"
5,금정이마트,부산광역시 금정구 중앙대로1841번길 24 (구서동),스타벅스,"(35.2499415346867, 129.090596231215)"
6,금정구서,부산광역시 금정구 금강로 441 (구서동),스타벅스,"(35.246972040401, 129.088705033066)"
7,부산서동,부산광역시 금정구 서동로 173 (서동),스타벅스,"(35.2146989889404, 129.105621001198)"
8,용호동W스퀘어,"부산광역시 남구 분포로 145 (용호동) 더블유스퀘어동 1019호,1020호,1021호,2011호 2012호",스타벅스,"(35.1342294576999, 129.111216765972)"
9,동명대DT,부산광역시 남구 신선로 423 (용당동),스타벅스,"(35.1231052079437, 129.098972733227)"
10,BIFC Mall,부산광역시 남구 문현금융로 40 (문현동) 부산국제금융센터,스타벅스,"(35.1464917263976, 129.065854840531)"
11,부산대연역,"부산광역시 남구 수영로 240-1, 1층 (대연동)",스타벅스,"(35.1349262076708, 129.093042579996)"
12,경성대,부산광역시 남구 수영로 312 (대연동),스타벅스,"(35.1369795296869, 129.100620669986)"
13,부산대연못골,부산광역시 남구 못골로 87 (대연동),스타벅스,"(35.1361145039001, 129.092028877694)"
14,부산역라마다,부산광역시 동구 중앙대로196번길 10 (초량동),스타벅스,"(35.1142438366245, 129.040324777113)"
15,부산역아스티,부산광역시 동구 중앙대로214번길 7-8 (초량동),스타벅스,"(35.116562771472, 129.042034211943)"
16,부산역,부산광역시 동구 중앙대로 216 (초량동),스타벅스,"(35.116332987821, 129.040803077798)"
17,범일동일타워,부산광역시 동구 조방로 14 (범일동),스타벅스,"(35.1387281351032, 129.06345343296)"
18,서면중앙대로R,부산광역시 부산진구 중앙대로 672 (부전동) 1층 2층,스타벅스,"(35.153006221653, 129.059606320437)"
19,서면로R,부산광역시 부산진구 서면로 49-1 (부전동),스타벅스,"(35.1552474300523, 129.057532370274)"
20,서면NC,부산광역시 부산진구 동천로 92 (전포동) NC백화점 1층,스타벅스,"(35.1570347933033, 129.063015132835)"
21,양정역,부산광역시 부산진구 중앙대로 894 (양정동),스타벅스,"(35.1700860029891, 129.069248908047)"
22,동의대역,부산광역시 부산진구 가야대로 589 (가야제1동),스타벅스,"(35.1549809422066, 129.036204979707)"
23,부산개금역,부산광역시 부산진구 가야대로 462 (개금동),스타벅스,"(35.1528609632447, 129.022473137771)"
24,서면전포역,부산광역시 부산진구 전포대로199번길 27 (전포동),스타벅스,"(35.1542752909726, 129.063594906789)"
25,부산서면중앙로,부산광역시 부산진구 중앙대로 701 (부전동),스타벅스,"(35.1554675375042, 129.058913783101)"
26,서면서전로,부산광역시 부산진구 서전로 19 (부전동),스타벅스,"(35.1579610095654, 129.061909071341)"
27,부산서면,부산광역시 부산진구 중앙대로692번길 46-10 (부전동),스타벅스,"(35.1540957461251, 129.061543776731)"
28,서면역,부산광역시 부산진구 서전로 1 (부전동),스타벅스,"(35.1579955331567, 129.059901545655)"
29,부전역,"부산광역시 부산진구 중앙대로 777, 서면호텔 복합시설1,2층 (부전동)",스타벅스,"(35.1618375672406, 129.06187547691)"
30,서면센트럴스퀘어,부산광역시 부산진구 중앙대로666번길 50 (부전동),스타벅스,"(35.151843130536, 129.060303359759)"
31,서면메디컬거리,"부산광역시 부산진구 가야대로 783-1, 1층 (부전동)",스타벅스,"(35.1579674066734, 129.057389324477)"
32,서면중앙,부산광역시 부산진구 서면로68번길 1 (부전동),스타벅스,"(35.1568755011339, 129.058071549278)"
33,서면트레이더스,부산광역시 부산진구 시민공원로 31 (부암동),스타벅스,"(35.1639044537017, 129.05255094433)"
34,초읍대공원,부산광역시 부산진구 성지곡로 6 (초읍동),스타벅스,"(35.1827764236576, 129.047498886595)"
35,서면엠디엠타워,부산광역시 부산진구 중앙대로 639 (범천동),스타벅스,"(35.1497331070164, 129.058779471903)"
36,서면문화로,부산광역시 부산진구 서면문화로 10 (부전동),스타벅스,"(35.1588242913748, 129.057613912224)"
37,부산덕천역,부산광역시 북구 만덕대로 30 (덕천동),스타벅스,"(35.2106613817795, 129.00848016307)"
38,부산화명역,부산광역시 북구 금곡대로285번길 5 (화명동),스타벅스,"(35.2336730290072, 129.013176739007)"
39,화명강변DT,부산광역시 북구 금곡대로77 (덕천동),스타벅스,"(35.2168532230702, 129.004733677474)"
40,부산구남역DT,부산광역시 북구 백양대로 1040 (구포동),스타벅스,"(35.1982934548189, 128.996297124915)"
41,부산만덕DT,부산광역시 북구 만덕대로 323 (만덕동),스타벅스,"(35.2131726902815, 129.039793829174)"
42,사상주례DT,부산광역시 사상구 백양대로 520 (주례동),스타벅스,"(35.1548634734354, 128.996132709156)"
43,동서대DT,부산광역시 사상구 가야대로 338 (주례동),스타벅스,"(35.1507621182409, 129.009827971619)"
44,사상역,부산광역시 사상구 사상로 211 (괘법동),스타벅스,"(35.1639752914377, 128.983399922445)"
45,부산사상로,부산광역시 사상구 사상로 200 (괘법동) 105호,스타벅스,"(35.1629608754113, 128.984602276617)"
46,삼락강변DT,부산광역시 사상구 낙동대로 1306 (삼락동),스타벅스,"(35.1768083427196, 128.976745493612)"
47,사상엄궁DT,부산광역시 사상구 낙동대로 744 (엄궁동),스타벅스,"(35.1276650476475, 128.969754562229)"
48,사상이마트,부산광역시 사상구 광장로 17 (괘법동),스타벅스,"(35.1642365382579, 128.978888681143)"
49,다대포비치,부산광역시 사하구 다대로 714 (다대동),스타벅스,"(35.049135845511, 128.963576442214)"
50,부산하단,부산광역시 사하구 낙동대로 455 (하단동),스타벅스,"(35.1053389495552, 128.968848942055)"
51,다대포DT,부산광역시 사하구 다대로 493 (다대동),스타벅스,"(35.0609480465826, 128.975240550468)"
52,을숙도강변DT,부산광역시 사하구 하신번영로 381-6 (하단동),스타벅스,"(35.1153636492672, 128.959536554899)"
53,부산괴정역,부산광역시 사하구 사하로186번길 6 (괴정동),스타벅스,"(35.098382491278, 128.994221824755)"
54,하단중앙,부산광역시 사하구 낙동남로 1411 (하단동),스타벅스,"(35.1064881843058, 128.966043105523)"
55,사하장림DT,부산광역시 사하구 을숙도대로 682 (장림동),스타벅스,"(35.0846132564958, 128.9801522659)"
56,부산교대역DT,부산광역시 연제구 중앙대로 1250 (거제동),스타벅스,"(35.1990015085125, 129.078873493191)"
57,연산시티타워,부산광역시 연제구 중앙대로 1125 (연산동),스타벅스,"(35.188054516869, 129.080664794725)"
58,부산연산역,부산광역시 연제구 반송로 20 (연산동),스타벅스,"(35.1869510753309, 129.083314908507)"
59,연산중앙로,부산광역시 연제구 중앙대로 1091 (연산동),스타벅스,"(35.1854115498798, 129.080657879087)"
60,부산교대,부산광역시 연제구 교대로 20-2 (거제동),스타벅스,"(35.1957091864053, 129.07747484091)"
61,연산트레이더스,부산광역시 연제구 좌수영로 241 연산동,스타벅스,"(35.1850939786146, 129.111950912034)"
62,부산시청,부산광역시 연제구 중앙천로 93 (연산동),스타벅스,"(35.1814991245074, 129.078499981728)"
63,연제이마트,부산광역시 연제구 연수로 89 (연산동),스타벅스,"(35.1761555005315, 129.08131410094)"
64,부산교대역,부산광역시 연제구 명륜로 3 (거제제1동) 한양프라자,스타벅스,"(35.1964875444913, 129.081223847328)"
65,영도청학DT,부산광역시 영도구 태종로 373 (청학동),스타벅스,"(35.0938802371268, 129.065150567854)"
66,영도대교,부산광역시 영도구 태종로 39 (대교동1가),스타벅스,"(35.0945978765904, 129.037251591465)"
67,부산광복로R,부산광역시 중구 광복중앙로 8-2 (광복동3가),스타벅스,"(35.1001081888799, 129.03138410594)"
68,자갈치역,부산광역시 중구 구덕로 54-1 (남포동5가),스타벅스,"(35.0983988855193, 129.029692425997)"
69,국제시장,부산광역시 중구 대청로 80 (대청동3가),스타벅스,"(35.1027820311369, 129.028583153206)"
70,부산중앙역,부산광역시 중구 중앙대로81번길 2 (중앙동4가),스타벅스,"(35.1051483460321, 129.035917866365)"
71,BIFF광장,부산광역시 중구 비프광장로 25 (남포동3가),스타벅스,"(35.0989514125188, 129.028017266608)"
72,남포동역,"부산광역시 중구 구덕로 4, 1~2층 (광복동1가)",스타벅스,"(35.0983090441208, 129.035130422468)"
73,기장역DT,부산광역시 기장군 기장읍 기장대로 527 ,스타벅스,"(35.2421748145909, 129.220225969412)"
74,동부산DT,부산광역시 기장군 기장읍 기장해안로 56 ,스타벅스,"(35.184089090691, 129.210809152212)"
75,부산정관,부산광역시 기장군 정관읍 정관로 579 ,스타벅스,"(35.3213725097261, 129.177178104516)"
76,부산P.아울렛,부산광역시 기장군 정관로 1133 (175호),스타벅스,"(35.3238109755463, 129.23496623842)"
77,기장일광DT,부산광역시 기장군 일광읍 기장대로 706 ,스타벅스,"(35.2571959308296, 129.22542762568)"
78,동부산테마파크,부산광역시 기장군 기장읍 동부산관광로 34 ,스타벅스,"(35.1939227553489, 129.213968675423)"
79,광안수변공원,부산광역시 수영구 민락수변로 29 (민락동),스타벅스,"(35.1532353292792, 129.124656209034)"
80,수영역,부산광역시 수영구 수영로 671 (광안동),스타벅스,"(35.1657572531542, 129.114477933856)"
81,금련산역,부산광역시 수영구 수영로464번길 6 (남천동),스타벅스,"(35.1471761409275, 129.110540642752)"
82,광안비치,부산광역시 수영구 광안로62번길 39 (광안동),스타벅스,"(35.1530869476615, 129.11771328212)"
83,수영망미DT,부산광역시 수영구 과정로 68 (망미동),스타벅스,"(35.1773899390167, 129.107494570004)"
84,광안리,부산광역시 수영구 광안해변로 247 (민락동),스타벅스,"(35.1550454256744, 129.120843929214)"
85,남천,부산광역시 수영구 남천바다로 38 (남천동),스타벅스,"(35.1483051929022, 129.114178373549)"
86,밀락더마켓,부산광역시 수영구 민락수변로17번길 56 (민락동),스타벅스,"(35.154220357296, 129.127039355614)"
87,스타필드명지,부산광역시 강서구 명지국제6로 168 스타필드 명지 1층,스타벅스,"(35.0931119772294, 128.918143592831)"
88,명지강변DT,부산광역시 강서구 르노삼성대로 620 (명지동),스타벅스,"(35.1026445196082, 128.929483769125)"
89,명지국제신도시,부산광역시 강서구 명지국제5로 42 (명지동),스타벅스,"(35.0976643142014, 128.920247351245)"
90,명지오션시티,부산광역시 강서구 명지오션시티11로 66 (명지동),스타벅스,"(35.0840317240018, 128.903149444771)"
91,명지퍼스트월드,"부산광역시 강서구 명지국제7로 37 (명지동, 더샵 명지퍼스트월드 2단지)",스타벅스,"(35.0975218758561, 128.905203069718)"
92,동래역,부산광역시 동래구 충렬대로181번길 42 ,스타벅스,"(35.2056187592235, 129.080163966075)"
93,명륜역,부산광역시 동래구 동래로 25 ,스타벅스,"(35.2124840859621, 129.078381024198)"
94,사직구장,부산광역시 동래구 사직북로 4 (사직동),스타벅스,"(35.1962690162664, 129.061358966141)"
